target,soil_moisture,air_humidity,soil_temperature,air_temperature,delta_temperature
soil_moisture_tendency,-0.64,0.08,-0.48,0.0,-0.22
soil_temperature_tendency,-0.88,-0.08,-3.81,0.9,-2.91
